institution,code
88관광개발(주),C0001
가축위생방역지원본부,C0002
강릉원주대학교치과병원,C0003
강원대학교병원,C0004
(주)강원랜드,C0005
건강보험심사평가원,C0006
경북대학교병원,C0008
경상국립대학교병원,C0009
경제인문사회연구회,C0010
공무원연금공단,C0013
과학기술정책연구원,C0017
광주과학기술원,C0018
한국교통안전공단,C0019
한국원자력통제기술원,C0020
국립공원공단,C0021
국립암센터,C0023
국민건강보험공단,C0026
국민연금공단,C0028
서울올림픽기념국민체육진흥공단,C0029
국제방송교류재단,C0031
국토연구원,C0032
근로복지공단,C0035
기술보증기금,C0038
한국남동발전(주),C0042
한국남부발전(주),C0043
한국농수산식품유통공사,C0045
한국농어촌공사,C0046
대구경북과학기술원,C0049
연구개발특구진흥재단,C0050
대외경제정책연구원,C0051
한국광물자원공사(2021.09.10. 해산),C0053
대한무역투자진흥공사,C0054
대한법률구조공단,C0055
대한석탄공사,C0057
대한적십자사,C0059
주택도시보증공사,C0061
한국국토정보공사,C0062
대한체육회,C0063
도로교통공단,C0064
독립기념관,C0065
한국동서발전(주),C0066
한국고전번역원,C0067
민주화운동기념사업회,C0068
한국보건복지인재원,C0070
부산대학교병원,C0071
부산항만공사,C0072
사립학교교직원연금공단,C0075
한국산업기술시험원,C0076
산업연구원,C0078
한국서부발전(주),C0082
서울대학교병원,C0083
서울대학교치과병원,C0084
한국광해관리공단(2021.09.10. 해산),C0086
한국해양교통안전공단,C0087
수도권매립지관리공사,C0089
신용보증기금,C0091
에너지경제연구원,C0096
한국에너지공단,C0097
영상물등급위원회,C0098
영화진흥위원회,C0099
예금보험공사,C0101
예술의전당,C0102
한국세라믹기술원,C0103
한국원자력의학원,C0104
인천국제공항공사,C0105
인천항만공사,C0107
재외동포재단,C0110
신용보증재단중앙회,C0112
전남대학교병원,C0113
전북대학교병원,C0114
전쟁기념사업회,C0115
정보통신정책연구원,C0120
제주국제자유도시개발센터,C0121
제주대학교병원,C0122
주택관리공단(주),C0124
(주)한국가스기술공사,C0125
중소기업유통센터,C0126
중소기업은행,C0127
중소기업기술정보진흥원,C0129
중소벤처기업진흥공단,C0130
한국예탁결제원,C0131
축산물품질평가원,C0134
충남대학교병원,C0135
충북대학교병원,C0136
코레일로지스(주),C0140
통일연구원,C0141
학교법인한국폴리텍,C0144
한국교육학술정보원,C0145
한국국제협력단,C0146
한국가스공사,C0147
한국가스안전공사,C0148
한국출판문화산업진흥원,C0149
한국부동산원,C0150
한국개발연구원,C0151
한국법무보호복지공단,C0152
한국건설기술연구원,C0154
한국공항공사,C0157
한국과학기술기획평가원,C0158
한국과학기술연구원,C0159
한국과학기술원,C0160
한국과학기술정보연구원,C0161
한국과학창의재단,C0163
한국관광공사,C0165
한국교육개발원,C0167
한국교육과정평가원,C0168
한국교통연구원,C0170
한국국방연구원,C0171
한국국제교류재단,C0172
노사발전재단,C0173
한국기계연구원,C0174
한국기술교육대학교,C0175
한국기초과학지원연구원,C0177
한국노동연구원,C0179
한국농촌경제연구원,C0181
한국도로공사,C0183
한국디자인진흥원,C0184
한국마사회,C0185
한국방송통신전파진흥원,C0187
한국문학번역원,C0188
한국문화관광연구원,C0189
한국문화예술위원회,C0190
한국문화재재단,C0191
한국문화진흥주식회사,C0192
한국방송광고진흥공사,C0196
한국법제연구원,C0198
한국벤처투자,C0199
한국보건사회연구원,C0200
한국보건산업진흥원,C0201
한국보건의료인국가시험원,C0202
한국보훈복지의료공단,C0203
한국사학진흥재단,C0205
한국산업단지공단,C0208
한국산업안전보건공단,C0209
한국산업은행,C0210
한국산업인력공단,C0211
한국생명공학연구원,C0212
한국생산기술연구원,C0213
한국석유공사,C0214
한국석유관리원,C0215
한국소방산업기술원,C0217
한국소비자원,C0218
한국수력원자력(주),C0220
한국수자원공사,C0221
한국무역보험공사,C0222
한국수출입은행,C0223
한국승강기안전공단,C0224
국토안전관리원,C0225
한국식품연구원,C0226
한국에너지기술연구원,C0229
한국여성정책연구원,C0231
한국영상자료원,C0232
한국에너지정보문화재단,C0233
한국원자력안전기술원,C0234
한국원자력연구원,C0235
한전원자력연료주식회사,C0236
한국자산관리공사,C0240
한국장애인고용공단,C0242
한국장애인개발원,C0243
한국전기안전공사,C0244
한국전기연구원,C0245
한국전력거래소,C0246
한국전력공사,C0247
한국전력기술주식회사,C0248
한국전자통신연구원,C0251
한국조세재정연구원,C0256
한국조폐공사,C0257
한국주택금융공사,C0258
한국중부발전(주),C0259
한국지역난방공사,C0261
한국지질자원연구원,C0263
한국직업능력연구원,C0264
한국천문연구원,C0266
한국철도공사,C0268
한국철도기술연구원,C0269
국가철도공단,C0270
코레일유통(주),C0272
한국청소년정책연구원,C0276
한국청소년상담복지개발원,C0278
한국체육산업개발(주),C0280
여수광양항만공사,C0281
한국투자공사,C0284
한국표준과학연구원,C0286
한국학중앙연구원,C0290
한국한의학연구원,C0291
한국항공우주연구원,C0292
한국해양수산개발원,C0295
한국해양수산연수원,C0296
한국해양과학기술원,C0297
한국행정연구원,C0298
한국형사·법무정책연구원,C0299
한국화학연구원,C0300
한국환경연구원,C0302
한전KPS(주),C0305
한전KDN,C0306
코레일관광개발(주),C0314
대한장애인체육회,C0315
국토교통과학기술진흥원,C0318
한국문화예술교육진흥원,C0320
한국고용정보원,C0321
코레일네트웍스(주),C0327
우체국물류지원단,C0331
한국어촌어항공단,C0335
한국특허정보원,C0340
국립박물관문화재단,C0344
국방과학연구소,C0345
국방기술품질원,C0347
한국발명진흥회,C0348
(재)우체국금융개발원,C0352
한국우편사업진흥원,C0354
그랜드코리아레저(주),C0357
동북아역사재단,C0358
울산항만공사,C0365
전략물자관리원,C0367
(재)우체국시설관리단,C0368
한국원자력환경공단,C0371
한국항로표지기술원,C0373
해양수산과학기술진흥원,C0374
정부법무공단,C0376
한국사회복지협의회,C0377
한국노인인력개발원,C0378
한국국제보건의료재단,C0379
한국재료연구원,C0381
한국핵융합에너지연구원,C0382
극지연구소,C0383
안전성평가연구소,C0384
고등과학원,C0385
**한국율도,C0386
코레일테크(주),C0387
한국연구재단,C0388
한국에너지기술평가원,C0389
한국저작권위원회,C0390
한국환경산업기술원,C0391
한국지능정보사회진흥원,C0392
한국산업기술진흥원,C0393
정보통신산업진흥원,C0394
한국콘텐츠진흥원,C0395
한국토지주택공사,C0396
한국산업기술평가관리원,C0397
한국인터넷진흥원,C0399
한국환경공단,C0400
게임물관리위원회,C0402
농림식품기술기획평가원,C0404
재단법인 국악방송,C0406
한국지식재산연구원,C0407
태권도진흥재단,C0409
국가평생교육진흥원,C0410
한국사회보장정보원,C0411
한국언론진흥재단,C0412
한국장학재단,C0415
한국지식재산보호원,C0416
농업기술실용화재단,C0422
세계김치연구소,C0431
나노종합기술원,C0436
KDI국제정책대학원,C0437
건축공간연구원,C0438
육아정책연구소,C0440
국가수리과학연구소,C0441
분당서울대학교병원,C0444
국립중앙의료원,C0446
한국청소년활동진흥원,C0447
동남권원자력의학원,C0448
북한이탈주민지원재단,C0449
한국로봇산업진흥원,C0450
창업진흥원,C0451
한국공예디자인문화진흥원,C0452
(재)예술경영지원센터,C0454
한국수산자원공단,C0455
한국사회적기업진흥원,C0456
국가과학기술인력개발원,C0457
국민건강보험공단 일산병원,C0459
한국데이터산업진흥원,C0527
해양환경공단,C0533
농업정책보험금융원,C0542
한국양성평등교육진흥원,C0594
한국상하수도협회,C0620
한국나노기술원,C0631
한국해양조사협회,C0654
한국공정거래조정원,C0655
식품안전정보원,C0661
한국보건의료연구원,C0662
한국문화정보원,C0663
울산과학기술원,C0664
건설근로자공제회,C0672
수자원환경산업진흥(주),C0840
한국등산·트레킹지원센터,C0844
한국건강가정진흥원,C0845
남북교류협력지원협회,C0847
한국보육진흥원,C0849
부산대학교치과병원,C0853
한국건강증진개발원,C0854
기초과학연구원,C0856
한국임업진흥원,C0857
특허정보진흥센터,C0858
한국잡월드,C0859
농림수산식품교육문화정보원,C0860
재단법인 한국자활복지개발원,C0861
한국의약품안전관리원,C0862
한국기상산업기술원,C0864
한국의료기기안전정보원,C0865
국제식물검역인증원,C0866
세종학당재단,C0867
한국예술인복지재단,C0868
아시아문화원(22.01.17 해산),C0869
한국의료분쟁조정중재원,C0870
한국뇌연구원,C0877
녹색기술센터,C0878
국립생태원,C0879
중소벤처기업연구원,C0884
대구경북첨단의료산업진흥재단,C0894
오송첨단의료산업진흥재단,C0896
한국특허전략개발원,C0899
항공안전기술원,C0900
한국여성과학기술인육성재단,C0901
한국여성인권진흥원,C0902
소상공인시장진흥공단,C0903
선박해양플랜트연구소,C0905
소프트웨어정책연구소,C0906
정보통신기획평가원,C0908
국가과학기술연구회,C0909
(재)국제원산지정보원,C0916
(재)APEC기후센터,C0918
한식진흥원,C0920
한국도박문제관리센터,C0922
국립광주과학관,C0923
국립대구과학관,C0924
(재)일제강제동원피해자지원재단,C0931
한국원자력안전재단,C0932
한국과학영재학교,C0938
서울요양원,C0939
국립해양박물관,C1016
재단법인 장애인기업종합지원센터,C1017
국립낙동강생물자원관,C1018
국립해양생물자원관,C1021
(주)공영홈쇼핑,C1024
국방전직교육원,C1027
(재)축산환경관리원,C1030
경북대학교치과병원,C1031
시청자미디어재단,C1033
과학기술일자리진흥원,C1038
한국재정정보원,C1042
주식회사 에스알,C1044
서민금융진흥원,C1046
한국저작권보호원,C1049
국립부산과학관,C1051
한국한의약진흥원,C1053
한국산림복지진흥원,C1055
환경보전협회,C1062
의료기관평가인증원,C1064
한국전력국제원자력대학원대학교,C1070
한국식품안전관리인증원,C1100
재단법인 한국공공조직은행,C1102
재단법인 한국장기조직기증원,C1103
한국수목원정원관리원,C1107
재단법인 대한건설기계안전관리원,C1108
재단법인 한국에너지재단,C1109
한국해양진흥공사,C1119
국가생명윤리정책원,C1120
한국수자원조사기술원,C1127
새만금개발공사,C1130
한국해외인프라도시개발지원공사,C1131
한국식품산업클러스터진흥원,C1138
한국도로공사서비스(주),C1294
아동권리보장원,C1303
재단법인 건설기술교육원,C1318
한국고용노동교육원,C1319
국립항공박물관,C1324
공간정보품질관리원,C1327
차세대수치예보모델개발사업단,C1330
국립해양과학관,C1333
국립호남권생물자원관,C1334
한전MCS(주),C1352
한국광해광업공단,C1364
